Program Duration,0.7027944783333333

Hand,P1 - F,P2 - F,P1 - S,P2 - S
8s7d,46.0,1.0,0.6865671641791045,0.014925373134328358
8s6d,1.0,1.0,0.014925373134328358,0.014925373134328358
8s5d,1.0,1.0,0.014925373134328358,0.014925373134328358
8s4d,1.0,1.0,0.014925373134328358,0.014925373134328358
8s3d,1.0,1.0,0.014925373134328358,0.014925373134328358
8s2d,1.0,1.0,0.014925373134328358,0.014925373134328358
8sAh,67.0,67.0,1.0,1.0
8sKh,67.0,67.0,1.0,1.0
8sQh,67.0,67.0,1.0,1.0
8sJh,67.0,4.0,1.0,0.05970149253731343
8sTh,67.0,2.0,1.0,0.029850746268656716
8s9h,66.0,1.0,0.9850746268656716,0.014925373134328358
8s8h,67.0,67.0,1.0,1.0
8s7h,46.0,1.0,0.6865671641791045,0.014925373134328358
8s6h,1.0,1.0,0.014925373134328358,0.014925373134328358
8s5h,1.0,1.0,0.014925373134328358,0.014925373134328358
8s4h,1.0,1.0,0.014925373134328358,0.014925373134328358
8s3h,1.0,1.0,0.014925373134328358,0.014925373134328358
8s2h,1.0,1.0,0.014925373134328358,0.014925373134328358
7s6s,67.0,1.0,1.0,0.014925373134328358
7s5s,64.0,1.0,0.9552238805970149,0.014925373134328358
7s4s,57.0,1.0,0.8507462686567164,0.014925373134328358
7s3s,1.0,1.0,0.014925373134328358,0.014925373134328358
7s2s,1.0,1.0,0.014925373134328358,0.014925373134328358
7sAc,67.0,67.0,1.0,1.0
7sKc,67.0,67.0,1.0,1.0
7sQc,67.0,6.0,1.0,0.08955223880597014
7sJc,4.0,2.0,0.05970149253731343,0.029850746268656716
7sTc,32.0,1.0,0.47761194029850745,0.014925373134328358
7s9c,45.0,1.0,0.6716417910447762,0.014925373134328358
7s8c,50.0,1.0,0.746268656716418,0.014925373134328358
7s7c,67.0,67.0,1.0,1.0
7s6c,1.0,1.0,0.014925373134328358,0.014925373134328358
7s5c,1.0,1.0,0.014925373134328358,0.014925373134328358
7s4c,1.0,1.0,0.014925373134328358,0.014925373134328358
7s3c,1.0,1.0,0.014925373134328358,0.014925373134328358
7s2c,1.0,1.0,0.014925373134328358,0.014925373134328358
7sAd,67.0,67.0,1.0,1.0
7sKd,67.0,67.0,1.0,1.0
7sQd,67.0,6.0,1.0,0.08955223880597014
7sJd,4.0,2.0,0.05970149253731343,0.029850746268656716
7sTd,32.0,1.0,0.47761194029850745,0.014925373134328358
7s9d,45.0,1.0,0.6716417910447762,0.014925373134328358
7s8d,50.0,1.0,0.746268656716418,0.014925373134328358
7s7d,67.0,67.0,1.0,1.0
7s6d,1.0,1.0,0.014925373134328358,0.014925373134328358
7s5d,1.0,1.0,0.014925373134328358,0.014925373134328358
7s4d,1.0,1.0,0.014925373134328358,0.014925373134328358
7s3d,1.0,1.0,0.014925373134328358,0.014925373134328358
7s2d,1.0,1.0,0.014925373134328358,0.014925373134328358
7sAh,67.0,67.0,1.0,1.0
7sKh,67.0,67.0,1.0,1.0
7sQh,67.0,6.0,1.0,0.08955223880597014
7sJh,4.0,2.0,0.05970149253731343,0.029850746268656716
7sTh,33.0,1.0,0.4925373134328358,0.014925373134328358
7s9h,45.0,1.0,0.6716417910447762,0.014925373134328358
7s8h,50.0,1.0,0.746268656716418,0.014925373134328358
7s7h,67.0,67.0,1.0,1.0
7s6h,1.0,1.0,0.014925373134328358,0.014925373134328358
7s5h,1.0,1.0,0.014925373134328358,0.014925373134328358
7s4h,1.0,1.0,0.014925373134328358,0.014925373134328358
7s3h,1.0,1.0,0.014925373134328358,0.014925373134328358
7s2h,1.0,1.0,0.014925373134328358,0.014925373134328358
